  2453611.419560 -2229.000000     5.036000 0 0 -1 
  2453613.430197 -2156.000000     5.058000 0 0 -1 
  2453614.434525 -2575.000000     5.055000 0 0 -1 
  2453625.434757 -2558.000000     5.109000 0 0 -1 
  2453626.393288 -2228.000000     5.103000 0 0 -1 
  2453627.378621 -2489.000000     5.093000 0 0 -1 
  2453628.290855 -2376.000000     5.092000 0 0 -1 
  2453628.468611 -2282.000000     5.091000 0 0 -1 
  2453629.299449 -2305.000000     5.092000 0 0 -1 
  2453629.482129 -2406.000000     5.117000 0 0 -1 
  2453635.352938 -2156.000000     5.104000 0 0 -1 
  2453636.373065 -2497.000000     5.111000 0 0 -1 
  2453637.338646 -2246.000000     5.112000 0 0 -1 
  2453638.356224 -2407.000000     5.097000 0 0 -1 
  2453638.368028 -2427.000000     5.109000 0 0 -1 
